Block Index,Storage Assignment (Mb) C = 1,Storage Assignment (Mb) C = 2,Storage Assignment (Mb) C = 3,Storage Assignment (Mb) C = 4,Storage Assignment (Mb) C = 5,Blockchain size (Mb)
909,12.52191207142857,17.27160514285714,24.39614475,29.93745333333333,41.0200705,66.495703
910,12.529814642857142,17.283257285714285,24.41342125,29.959104333333332,41.0504705,66.548197
911,12.539767571428571,17.29751314285714,24.4341315,29.984834666666668,41.086241,66.608438
912,12.54605807142857,17.306545142857143,24.44727575,30.00117733333333,41.1089805,66.646819
913,12.55486807142857,17.320612142857144,24.46922825,30.029263,41.1493325,66.720417
914,12.560341714285714,17.329050428571428,24.4821135,30.045607,41.172594,66.761922
915,12.5654965,17.336805,24.49376775,30.06029433333333,41.1933475,66.798319
916,12.57388557142857,17.349998142857142,24.514167,30.086298333333332,41.230561,66.865576
917,12.9165385,17.734821,24.96224475,30.58357433333333,41.8262335,67.455955
918,13.14888407142857,18.023076142857143,25.33436425,31.020921666666666,42.3940365,68.238689
919,13.157000785714285,18.03489157142857,25.35172775,31.042600333333333,42.4243455,68.290471
920,13.178848785714285,18.071597571428573,25.41072075,31.118927666666668,42.5353415,68.498483
921,13.183929785714286,18.07956857142857,25.42302675,31.134605333333333,42.5577625,68.538943
922,13.192694857142858,18.093498714285715,25.4447045,31.162309,42.597518,68.611254
923,13.19954,18.103531,25.4595175,31.180840333333332,42.623486,68.655874
924,13.68084757142857,18.692766142857142,26.210644,32.05788233333333,43.752359,70.16686
925,13.68552757142857,18.699987142857143,26.2216765,32.071879333333335,43.772285,70.202434
926,13.6933175,18.711167,26.23794125,32.092099,43.8004145,70.249893
927,13.704146,18.726678,26.260476,32.12009666666667,43.839338,70.315448
928,13.729780071428571,18.76013214285714,26.30566025,32.174404333333335,43.9118925,70.424929
929,13.735369214285715,18.76888942857143,26.31916975,32.19161,43.9364905,70.469283
930,13.7426955,18.780432,26.33703675,32.214396,43.9691145,70.528311
931,13.749524,18.792219,26.3562615,32.23940566666667,44.005694,70.59773
932,13.758927857142858,18.805395714285716,26.3750975,32.26264333333333,44.037735,70.65055
933,13.764519214285714,18.81390742857143,26.38798975,32.278942666666666,44.0608485,70.691435
934,13.770749357142858,18.823539714285715,26.40272525,32.29764733333333,44.0874915,70.739065
935,13.777142071428571,18.833056142857142,26.41692725,32.31549366666667,44.1126265,70.782797
936,13.784705571428571,18.84488214285714,26.435147,32.338686333333335,44.145765,70.842472
